content,score,sentimen
Ancur,1,0
"Jaringan saya stabil, main game lancar, nonton YouTube lancar, buka sosmed lancar. Tetapi kenapa dengan DANA? Tolong server nya ditingkatkan, jangan server bapuk yang digunakan. Lelet!",1,0
Kenapa yah akhir2 ini dana sering eror,3,0
Aplikasinya ngeleg,3,0
"Sangat kecewa dana hilang tiba tiba dan sering lag padahal sinyal bagus Pas mau transfer ke teman malah tulisan ""sistem sibuk"" Kalo buat baya bayar si oke banyak yang bisa langsung di bayar lewat dana Kaya beli pulsa topup game dll Saran saya sistem nya perbaiki lagi",3,0
"woy kenapa dana suka erorr, ga nyaman lagi pake dana kalo eror mulu",2,0
Makin lama ko mlh makin sering eror bknnya tambah baguss,1,0
"Udah diturutin logout, malah login nya yg susah, tolong dong aplikasinya di perbaiki, biar ga pada ngeluh yg make aplikasi ini.!!!",3,0
Jaringan nya eror padahal jaringan nya full aneh,1,0
Tidak terbuka aplikasi nya,1,0
"Dana sekarang makin parah. Tidak bisa login lagi. Padhal mash ada saldo 1,2jt. Hilang bgtu aja. Ga bisa login sama sekali...",1,0
Kecewa banget sama aplikasi dana padahal baru beberapa hari yang lalu topup hari ini mau masuk ke aplikasi nya ngga bisa kata nya sudah tidak aktif terlalu lama padahal di situ masih banyak saldo nya menyesal sekali,1,0
Dana kenapa si sistem sibuk mulu heran,1,0
"Kesan pertama pakai dana, udh berhasil topup loh kok eror",1,0
Kecewa saya,1,0
Lemot terus sering gangguan,3,0
"Mengapa dana sekarang sering gangguan pdhal sebelumnya lancar"" aja skrang kok jdi begini jdi malas jdinya",1,0
Knp ko sekarang dana mau teransper mental lagi tolong d perbaikin dong,2,0
Sekarang dana apk lemot.,1,0
"Ga bisa transfer, sistem sedang sibuk terus. Kecewa",1,0
Sinyal bagus tapi aplikasinya lambat jalannya,1,0
"Aplikasi tidak berjalan lancar ketika akan melakukan transaksi terjadi kendala dengan tampilan ""ada yang salah dengan koneksimu dan coba lagi"" padahal koneksi aman dan full. Lalu ketika login saldo yg dimiliki menjadi nol baru bbrp menit kemudian baru muncul, saldo tidak bertambah setelah top up dari bank, saldo masuk baru bertambah bbrp menit kemudian cukup lama prosesnya",1,0
"Giman sih dana , udah terlanjur topup malah ga bisa buat transaksi , harus daftar dana premium mana susah banget gagal gagal terus",2,0
"Kok nggak bisa login alasannya:jaringan bermasalah,padahal jaringan saya bagus,saya pake dana sdah lama kok skarang jelek begini tolong dibantu",1,0
Ini gangguan apa gimna saya udah topup malah gabisa masuk tolong bantuanya,1,0
Saat ini tidak bisa untuk transaksi😡,1,0
Aneh setiap hujan pasti gangguan,2,0
"Lagi buru2 pengen trf ke bank pake sistem sedang sibuk,mohon diperbaiki.",1,0
sistem sibuk tros !!!!,1,0
"kenapa dana saya tak bisa login lagi duit saya disitu bejuta, saya mau bayar tagihan",1,0
Tiap hujan pasti gangguan parah bener,1,0
Knpa dana saya gabisa di pake eror terus,1,0
Knp skrg sering error aplikasi ini? Saya jadi sulit untuk melakukan transaksi memakai aplikasi ini. Tolong secepatnya di perbaiki.,2,0
Tidak bisa login keterangan system sibuk terus #soksibukni,1,0
"Kecewa sekarang DANA , ketika mau login atwpun transaksi atwnapa lah sering sitem sibuk apalah.. ? Padajal jaaringanpun baik baik saja,,",2,0
Parah aplikasi rusak mau login aja susahnya setengah mati mohon rekan rekan untuk tidak memakai dana,1,0
"Knpa ya bos dana gua susah masuk gagal koneksi trus , prah dah nih pdahal kmren2 lancar ja ..",2,0
Kenapa yah gak bisa TF ke bank,2,0
Aplikasi bobok.. keseringan gangguan..pokoknya ini aplikasi gk bgt deh..,1,0
"Transaksi gagal terus bikin laporan di chat kqgak ada balesany, padah mau kirim uang lg penting banget, tp malah sistemnya error. Parahh",2,0
Sistem sibuk mulu,3,0
Ada apa ini dengan bank dana kok sistem sedang sibuk terus knapa,1,0
ga nyaman banget min sistem sibuk terus mau transfer,1,0
"Dana bgsd, kau makan aja saldo aku bgsd.... Apk gabisa dibuka, udah kayak apk berat aja, update? Error? Udah lama ga login? Info ke cs? Cuih",1,0
"Gimana ini dan gngguan mulu sih, mau transaksi susah amat",2,0
"Woooiiiii....kenapa saya gak bisa login nih,saldo dana sya msih byk.ada apa sesungguhnya ini.....klu kyak gini saya sangat kecewa kali dg dana, seharusnya makin lama makin bagus, eh ini malah makin jelek pelayanannya",2,0
Woy gmna dngn saldo saya ko tidak bisa transaksi Knph ulasan saya di hps😤,1,0
"Udah saya update , tapi masih error aja ya",2,0
Sistem sibuk terus ajg,1,0
Saya mau ngirim uang kenapa sistem sedang sibuk terus,1,0
"Kenapa setiap mau melakukan transaksi selalu muncul masalah jaringan koneksi, padahal jaringan koneksi saya normal",1,0
Dana sekarang banyak trouble. Suka logout sendiri. Sering sistem sibuk. Ga kayak dulu. Sekarang aplikasi makin berat dan banyak masalah,1,0
"Aplikasi scam, mau login malah disuruh daftar akun baru, gw masukin akun gw yg udh pernah di daftarkan malah gk bisa",1,0
knp kok sedang sibuk terus ?,3,0
Tiba tiba tidak bisa transfer tolong di perbaiki lagi ni aplikasi,1,0
Lemottttt bikin kesel demi apapun,2,0
"Dana kurang sehat, di klik gx mau",1,0
"Sistem sibuk terus skarang dana,, semenjak ganti gambar",1,0
Di update malah makin ngacoo asuu,1,0
Dana sekarang makin buruk gangguan mulu...,1,0
Tolong ini saya tidak bisa masuk ke dana dan saya udah isi saldo,1,0
"Update terus yang diprioritaskan tapi kinerja ""maaf sistem sedang sibuk""",1,0
Duh gangguan terus ......,1,0
"Kenapa setelah saya update dana, malah ga bisa log in? Katanya jaringan tidak terhubung,padahal aku buka youtobe, tiktok, semua aplikasi jalan normal, jatingan ga masalah. bahkan saya uninstal aplikasi dana, lalu download ulang, tetap ga bisa login. Tolong dong d perbaiki aplikasinya, aku selalu menggunakan dana, kenapa tertulis akun anda tidak aktif terlalu lama..",1,0
Banyak eror,1,0
Tidak memuaskan,1,0
Payah dana ini makin tidak memuaskan pelayanannya sering gangguan Mulu bikin hambatan orang transaksi,3,0
Kebanyakan gaya...bikin event ini itu...buktinya..malah ngecewain slalu....eror + sibuk....aneh..,1,0
"Makin kesini kok sering bngt error' yah,, di upgrade ke versi terbaru bukannya semakin lebih baik malah sebaliknya,,🤦",2,0
Knpa ya dana gangguan mulu deh:(,3,0
"ada apa dengan aplikasi dana??? ini ga bisa login terjadi kesalahan jaringan trus, ga bisa login, mohon bantuannya",1,0
"Min dana goal nya upgrade lagi dong jangan cuma 8jt bisa sampe 100jt gtu. Manfaat bgt itu buat saya klo bisa lebih. Makasih Min 🙏 Sama masalah jaringan tolong di perbaiki lagi, bug nya juga",3,0
Ini dana aku kenapa gabisa dibuka ya ? padahal nomor sama Pw nya benar. apa sedang gangguan ?,2,0
Bos saya ilang hp skaligus no hp nya yang berkaitan dengan dana ilang gimna cara buka dana saya lagi bos ..di arahin ke email yang gatau di hp mana bikinnya boro2 email sandinya ga inget gimna bos bisa kebuka ga kalo bisa bisa kalo ngga ngga soalnya masih ada duit saya di dana itu,1,0
Paarah sistem sibuk mulu ah,1,0
"kecewa bnget sama dana sekrang, d update bkan nya bagus mala sering ovor close sendiri",1,0
Kena eror cok,1,0
"Saya sedikit kecewa karena tiba tiba baruan saya ter log out sendiri tanpa alasan jelas,padahal 1 hari yang lalu saya telah login",2,0
"Dana knapa eror begini sihh , jangan "" dah terjadi lagi",1,0
Ini kenapa kok saya gabisa login tolong lh di perbaiki,1,0
"Makin nggak jelas, suka lose connect padahal sinyal bagus terus lama lagi muat halamannya. Coba diperbarui agar pelanggan tidak kecewa.",2,0
Dana kurang bagus error Mulu padahal sinyal bagus,1,0
Woi ini knapa dana gua dari magrib sistem sibuk trusss ? Buset dah,1,0
SISTEM SEDANG SIBUK...... TERUS KEK QONTOL,1,0
Eror nya lama bgt,1,0
"Gimana ini saya tf ke rekening bank BRI malah g masuk saldonya, mohon bantuannya.",2,0
Kenapa setiap mau melakukan transaksi selalu sj sistem sdg sibuk? Pake nomor/link/qris sm aja sistem sedang sibuk mlu satu lg kalau mau bayar pake nomor itu knp nomornya tak terdaftar? Pdhl nomornya terdaftar loh tolong secepatnya di perbaiki knp skrg dana makin error dan jelek gini ya banyak masalahnya😭,1,0
"Sangat parah,aplikasi bug ini cvvk..buat tranfer selalu gagal.tolonngggg perbaiki jika ingin pelangganmu stay.",1,0
ERORRR TERUS TANGGAL 05-04-2022 JAM 21:59 PARAH BANGET INI APLIKASI MOHON JANGAN DI DOWNLOAD !!!,1,0
Dana makin sini makin parah iya mau transfer sistem sedang sibuk terus jadi malas makenya juga,1,0
